year,problemUrl,solutionUrl
2015,https://lavida.us/collection.php?col_id=4268,
2016,https://lavida.us/collection.php?col_id=4271,https://goo.gl/LnMYQp
2017,https://www.acmicpc.net/category/detail/1815,https://upload.acmicpc.net/97a0f8d7-2dc2-40a5-8fcb-d57bf71276b1/
2018,https://www.acmicpc.net/category/detail/1879,https://upload.acmicpc.net/905e1768-6f31-43f0-874b-f007502859c9/
2019,https://www.acmicpc.net/category/702,https://upload.acmicpc.net/eb3281b7-abfc-4ba8-bfe2-a2b6207e5d66/
2020,https://www.acmicpc.net/category/703,https://upload.acmicpc.net/dffad258-62cf-4218-b709-e9e6047df942/
2021,https://www.acmicpc.net/category/704,https://upload.acmicpc.net/f70ac1c2-3f7e-4fe2-953d-d51ef03bfdda/
2022,https://www.acmicpc.net/category/detail/3219,https://upload.acmicpc.net/1227a4e5-ecce-46fd-97e1-15fa171b1a3c/
2023,https://www.acmicpc.net/category/848,https://u.acmicpc.net/cd2d1056-7c9b-41ac-936e-494865472191/2023_APC_Solution.pdf
2024,https://www.acmicpc.net/category/1037,https://upload.acmicpc.net/1addf05d-bbad-4b49-9ab8-70836220f725/
2025,https://www.acmicpc.net/category/1112,https://upload.acmicpc.net/2dc61e2b-fc01-431c-a12c-6436a2662f9d/